"Port","Service","Protocol","Description"
"27523","","","Unassigned"
"27524","","","Unassigned"
"27525","","","Unassigned"
"27526","","","Unassigned"
"27527","","","Unassigned"
"27528","","","Unassigned"
"27529","","","Unassigned"
"27530","","","Unassigned"
"27531","","","Unassigned"
"27532","","","Unassigned"
"27533","","","Unassigned"
"27534","","","Unassigned"
"27535","","","Unassigned"
"27536","","","Unassigned"
"27537","","","Unassigned"
"27538","","","Unassigned"
"27539","","","Unassigned"
"27540","","","Unassigned"
"27541","","","Unassigned"
"27542","","","Unassigned"
"27543","","","Unassigned"
"27544","","","Unassigned"
"27545","","","Unassigned"
"27546","","","Unassigned"
"27547","","","Unassigned"
"27548","","","Unassigned"
"27549","","","Unassigned"
"27550","","","Unassigned"
"27551","","","Unassigned"
"27552","","","Unassigned"
"27553","","","Unassigned"
"27554","","","Unassigned"
"27555","","","Unassigned"
"27556","","","Unassigned"
"27557","","","Unassigned"
"27558","","","Unassigned"
"27559","","","Unassigned"
"27560","","","Unassigned"
"27561","","","Unassigned"
"27562","","","Unassigned"
"27563","","","Unassigned"
"27564","","","Unassigned"
"27565","","","Unassigned"
"27566","","","Unassigned"
"27567","","","Unassigned"
"27568","","","Unassigned"
"27569","","","Unassigned"
"27570","","","Unassigned"
"27571","","","Unassigned"
"27572","","","Unassigned"
"27573","","","Unassigned"
"27574","","","Unassigned"
"27575","","","Unassigned"
"27576","","","Unassigned"
"27577","","","Unassigned"
"27578","","","Unassigned"
"27579","","","Unassigned"
"27580","","","Unassigned"
"27581","","","Unassigned"
"27582","","","Unassigned"
"27583","","","Unassigned"
"27584","","","Unassigned"
"27585","","","Unassigned"
"27586","","","Unassigned"
"27587","","","Unassigned"
"27588","","","Unassigned"
"27589","","","Unassigned"
"27590","","","Unassigned"
"27591","","","Unassigned"
"27592","","","Unassigned"
"27593","","","Unassigned"
"27594","","","Unassigned"
"27595","","","Unassigned"
"27596","","","Unassigned"
"27597","","","Unassigned"
"27598","","","Unassigned"
"27599","","","Unassigned"
"27600","","","Unassigned"
"27601","","","Unassigned"
"27602","","","Unassigned"
"27603","","","Unassigned"
"27604","","","Unassigned"
"27605","","","Unassigned"
"27606","","","Unassigned"
"27607","","","Unassigned"
"27608","","","Unassigned"
"27609","","","Unassigned"
"27610","","","Unassigned"
"27611","","","Unassigned"
"27612","","","Unassigned"
"27613","","","Unassigned"
"27614","","","Unassigned"
"27615","","","Unassigned"
"27616","","","Unassigned"
"27617","","","Unassigned"
"27618","","","Unassigned"
"27619","","","Unassigned"
"27620","","","Unassigned"
"27621","","","Unassigned"
"27622","","","Unassigned"
"27623","","","Unassigned"
"27624","","","Unassigned"
"27625","","","Unassigned"
"27626","","","Unassigned"
"27627","","","Unassigned"
"27628","","","Unassigned"
"27629","","","Unassigned"
"27630","","","Unassigned"
"27631","","","Unassigned"
"27632","","","Unassigned"
"27633","","","Unassigned"
"27634","","","Unassigned"
"27635","","","Unassigned"
"27636","","","Unassigned"
"27637","","","Unassigned"
"27638","","","Unassigned"
"27639","","","Unassigned"
"27640","","","Unassigned"
"27641","","","Unassigned"
"27642","","","Unassigned"
"27643","","","Unassigned"
"27644","","","Unassigned"
"27645","","","Unassigned"
"27646","","","Unassigned"
"27647","","","Unassigned"
"27648","","","Unassigned"
"27649","","","Unassigned"
"27650","","","Unassigned"
"27651","","","Unassigned"
"27652","","","Unassigned"
"27653","","","Unassigned"
"27654","","","Unassigned"
"27655","","","Unassigned"
"27656","","","Unassigned"
"27657","","","Unassigned"
"27658","","","Unassigned"
"27659","","","Unassigned"
"27660","","","Unassigned"
"27661","","","Unassigned"
"27662","","","Unassigned"
"27663","","","Unassigned"
"27664","","","Unassigned"
"27665","","","Unassigned"
"27666","","","Unassigned"
"27667","","","Unassigned"
"27668","","","Unassigned"
"27669","","","Unassigned"
"27670","","","Unassigned"
"27671","","","Unassigned"
"27672","","","Unassigned"
"27673","","","Unassigned"
"27674","","","Unassigned"
"27675","","","Unassigned"
"27676","","","Unassigned"
"27677","","","Unassigned"
"27678","","","Unassigned"
"27679","","","Unassigned"
"27680","","","Unassigned"
"27681","","","Unassigned"
"27682","","","Unassigned"
"27683","","","Unassigned"
"27684","","","Unassigned"
"27685","","","Unassigned"
"27686","","","Unassigned"
"27687","","","Unassigned"
"27688","","","Unassigned"
"27689","","","Unassigned"
"27690","","","Unassigned"
"27691","","","Unassigned"
"27692","","","Unassigned"
"27693","","","Unassigned"
"27694","","","Unassigned"
"27695","","","Unassigned"
"27696","","","Unassigned"
"27697","","","Unassigned"
"27698","","","Unassigned"
"27699","","","Unassigned"
"27700","","","Unassigned"
"27701","","","Unassigned"
"27702","","","Unassigned"
"27703","","","Unassigned"
"27704","","","Unassigned"
"27705","","","Unassigned"
"27706","","","Unassigned"
"27707","","","Unassigned"
"27708","","","Unassigned"
"27709","","","Unassigned"
"27710","","","Unassigned"
"27711","","","Unassigned"
"27712","","","Unassigned"
"27713","","","Unassigned"
"27714","","","Unassigned"
"27715","","","Unassigned"
"27716","","","Unassigned"
"27717","","","Unassigned"
"27718","","","Unassigned"
"27719","","","Unassigned"
"27720","","","Unassigned"
"27721","","","Unassigned"
"27722","","","Unassigned"
"27723","","","Unassigned"
"27724","","","Unassigned"
"27725","","","Unassigned"
"27726","","","Unassigned"
"27727","","","Unassigned"
"27728","","","Unassigned"
"27729","","","Unassigned"
"27730","","","Unassigned"
"27731","","","Unassigned"
"27732","","","Unassigned"
"27733","","","Unassigned"
"27734","","","Unassigned"
"27735","","","Unassigned"
"27736","","","Unassigned"
"27737","","","Unassigned"
"27738","","","Unassigned"
"27739","","","Unassigned"
"27740","","","Unassigned"
"27741","","","Unassigned"
"27742","","","Unassigned"
"27743","","","Unassigned"
"27744","","","Unassigned"
"27745","","","Unassigned"
"27746","","","Unassigned"
"27747","","","Unassigned"
"27748","","","Unassigned"
"27749","","","Unassigned"
"27750","","","Unassigned"
"27751","","","Unassigned"
"27752","","","Unassigned"
"27753","","","Unassigned"
"27754","","","Unassigned"
"27755","","","Unassigned"
"27756","","","Unassigned"
"27757","","","Unassigned"
"27758","","","Unassigned"
"27759","","","Unassigned"
"27760","","","Unassigned"
"27761","","","Unassigned"
"27762","","","Unassigned"
"27763","","","Unassigned"
"27764","","","Unassigned"
"27765","","","Unassigned"
"27766","","","Unassigned"
"27767","","","Unassigned"
"27768","","","Unassigned"
"27769","","","Unassigned"
"27770","","","Unassigned"
"27771","","","Unassigned"
"27772","","","Unassigned"
"27773","","","Unassigned"
"27774","","","Unassigned"
"27775","","","Unassigned"
"27776","","","Unassigned"
"27777","","","Unassigned"
"27778","","","Unassigned"
"27779","","","Unassigned"
"27780","","","Unassigned"
"27781","","","Unassigned"
"27782","ars-vista","tcp","ARS VISTA Application"
"27782","ars-vista","udp","ARS VISTA Application"
"27783","","","Unassigned"
"27784","","","Unassigned"
"27785","","","Unassigned"
"27786","","","Unassigned"
"27787","","","Unassigned"
"27788","","","Unassigned"
"27789","","","Unassigned"
"27790","","","Unassigned"
"27791","","","Unassigned"
"27792","","","Unassigned"
"27793","","","Unassigned"
"27794","","","Unassigned"
"27795","","","Unassigned"
"27796","","","Unassigned"
"27797","","","Unassigned"
"27798","","","Unassigned"
"27799","","","Unassigned"
"27800","","","Unassigned"
"27801","","","Unassigned"
"27802","","","Unassigned"
"27803","","","Unassigned"
"27804","","","Unassigned"
"27805","","","Unassigned"
"27806","","","Unassigned"
"27807","","","Unassigned"
"27808","","","Unassigned"
"27809","","","Unassigned"
"27810","","","Unassigned"
"27811","","","Unassigned"
"27812","","","Unassigned"
"27813","","","Unassigned"
"27814","","","Unassigned"
"27815","","","Unassigned"
"27816","","","Unassigned"
"27817","","","Unassigned"
"27818","","","Unassigned"
"27819","","","Unassigned"
"27820","","","Unassigned"
"27821","","","Unassigned"
"27822","","","Unassigned"
"27823","","","Unassigned"
"27824","","","Unassigned"
"27825","","","Unassigned"
"27826","","","Unassigned"
"27827","","","Unassigned"
"27828","","","Unassigned"
"27829","","","Unassigned"
"27830","","","Unassigned"
"27831","","","Unassigned"
"27832","","","Unassigned"
"27833","","","Unassigned"
"27834","","","Unassigned"
"27835","","","Unassigned"
"27836","","","Unassigned"
"27837","","","Unassigned"
"27838","","","Unassigned"
"27839","","","Unassigned"
"27840","","","Unassigned"
"27841","","","Unassigned"
"27842","","","Unassigned"
"27843","","","Unassigned"
"27844","","","Unassigned"
"27845","","","Unassigned"
"27846","","","Unassigned"
"27847","","","Unassigned"
"27848","","","Unassigned"
"27849","","","Unassigned"
"27850","","","Unassigned"
"27851","","","Unassigned"
"27852","","","Unassigned"
"27853","","","Unassigned"
"27854","","","Unassigned"
"27855","","","Unassigned"
"27856","","","Unassigned"
"27857","","","Unassigned"
"27858","","","Unassigned"
"27859","","","Unassigned"
"27860","","","Unassigned"
"27861","","","Unassigned"
"27862","","","Unassigned"
"27863","","","Unassigned"
"27864","","","Unassigned"
"27865","","","Unassigned"
"27866","","","Unassigned"
"27867","","","Unassigned"
"27868","","","Unassigned"
"27869","","","Unassigned"
"27870","","","Unassigned"
"27871","","","Unassigned"
"27872","","","Unassigned"
"27873","","","Unassigned"
"27874","","","Unassigned"
"27875","","","Unassigned"
"27876","astrolink","tcp","Astrolink Protocol"
"27876","","udp","Reserved"
"27877","","","Unassigned"
"27878","","","Unassigned"
"27879","","","Unassigned"
"27880","","","Unassigned"
"27881","","","Unassigned"
"27882","","","Unassigned"
"27883","","","Unassigned"
"27884","","","Unassigned"
"27885","","","Unassigned"
"27886","","","Unassigned"
"27887","","","Unassigned"
"27888","","","Unassigned"
"27889","","","Unassigned"
"27890","","","Unassigned"
"27891","","","Unassigned"
"27892","","","Unassigned"
"27893","","","Unassigned"
"27894","","","Unassigned"
"27895","","","Unassigned"
"27896","","","Unassigned"
"27897","","","Unassigned"
"27898","","","Unassigned"
"27899","","","Unassigned"
"27900","","","Unassigned"
"27901","","","Unassigned"
"27902","","","Unassigned"
"27903","","","Unassigned"
"27904","","","Unassigned"
"27905","","","Unassigned"
"27906","","","Unassigned"
"27907","","","Unassigned"
"27908","","","Unassigned"
"27909","","","Unassigned"
"27910","","","Unassigned"
"27911","","","Unassigned"
"27912","","","Unassigned"
"27913","","","Unassigned"
"27914","","","Unassigned"
"27915","","","Unassigned"
"27916","","","Unassigned"
"27917","","","Unassigned"
"27918","","","Unassigned"
"27919","","","Unassigned"
"27920","","","Unassigned"
"27921","","","Unassigned"
"27922","","","Unassigned"
"27923","","","Unassigned"
"27924","","","Unassigned"
"27925","","","Unassigned"
"27926","","","Unassigned"
"27927","","","Unassigned"
"27928","","","Unassigned"
"27929","","","Unassigned"
"27930","","","Unassigned"
"27931","","","Unassigned"
"27932","","","Unassigned"
"27933","","","Unassigned"
"27934","","","Unassigned"
"27935","","","Unassigned"
"27936","","","Unassigned"
"27937","","","Unassigned"
"27938","","","Unassigned"
"27939","","","Unassigned"
"27940","","","Unassigned"
"27941","","","Unassigned"
"27942","","","Unassigned"
"27943","","","Unassigned"
"27944","","","Unassigned"
"27945","","","Unassigned"
"27946","","","Unassigned"
"27947","","","Unassigned"
"27948","","","Unassigned"
"27949","","","Unassigned"
"27950","","","Unassigned"
"27951","","","Unassigned"
"27952","","","Unassigned"
"27953","","","Unassigned"
"27954","","","Unassigned"
"27955","","","Unassigned"
"27956","","","Unassigned"
"27957","","","Unassigned"
"27958","","","Unassigned"
"27959","","","Unassigned"
"27960","","","Unassigned"
"27961","","","Unassigned"
"27962","","","Unassigned"
"27963","","","Unassigned"
"27964","","","Unassigned"
"27965","","","Unassigned"
"27966","","","Unassigned"
"27967","","","Unassigned"
"27968","","","Unassigned"
"27969","","","Unassigned"
"27970","","","Unassigned"
"27971","","","Unassigned"
"27972","","","Unassigned"
"27973","","","Unassigned"
"27974","","","Unassigned"
"27975","","","Unassigned"
"27976","","","Unassigned"
"27977","","","Unassigned"
"27978","","","Unassigned"
"27979","","","Unassigned"
"27980","","","Unassigned"
"27981","","","Unassigned"
"27982","","","Unassigned"
"27983","","","Unassigned"
"27984","","","Unassigned"
"27985","","","Unassigned"
"27986","","","Unassigned"
"27987","","","Unassigned"
"27988","","","Unassigned"
"27989","","","Unassigned"
"27990","","","Unassigned"
"27991","","","Unassigned"
"27992","","","Unassigned"
"27993","","","Unassigned"
"27994","","","Unassigned"
"27995","","","Unassigned"
"27996","","","Unassigned"
"27997","","","Unassigned"
"27998","","","Unassigned"
"27999","tw-auth-key","tcp","TW Authentication/Key Distribution and"
"27999","tw-auth-key","udp","Attribute Certificate Services"
"28000","nxlmd","tcp","NX License Manager"
"28000","nxlmd","udp","NX License Manager"
"28001","pqsp","tcp","PQ Service"
"28001","","udp","Reserved"
"28002","","","Unassigned"
"28003","","","Unassigned"
"28004","","","Unassigned"
"28005","","","Unassigned"
"28006","","","Unassigned"
"28007","","","Unassigned"
"28008","","","Unassigned"
"28009","","","Unassigned"
"28010","","","Unassigned"
"28011","","","Unassigned"
"28012","","","Unassigned"
"28013","","","Unassigned"
"28014","","","Unassigned"
"28015","","","Unassigned"
"28016","","","Unassigned"
"28017","","","Unassigned"
"28018","","","Unassigned"
"28019","","","Unassigned"
"28020","","","Unassigned"
"28021","","","Unassigned"
"28022","","","Unassigned"
"28023","","","Unassigned"
"28024","","","Unassigned"
"28025","","","Unassigned"
"28026","","","Unassigned"
"28027","","","Unassigned"
"28028","","","Unassigned"
"28029","","","Unassigned"
"28030","","","Unassigned"
"28031","","","Unassigned"
"28032","","","Unassigned"
"28033","","","Unassigned"
"28034","","","Unassigned"
"28035","","","Unassigned"
"28036","","","Unassigned"
"28037","","","Unassigned"
"28038","","","Unassigned"
"28039","","","Unassigned"
"28040","","","Unassigned"
"28041","","","Unassigned"
"28042","","","Unassigned"
"28043","","","Unassigned"
"28044","","","Unassigned"
"28045","","","Unassigned"
"28046","","","Unassigned"
"28047","","","Unassigned"
"28048","","","Unassigned"
"28049","","","Unassigned"
"28050","","","Unassigned"
"28051","","","Unassigned"
"28052","","","Unassigned"
"28053","","","Unassigned"
"28054","","","Unassigned"
"28055","","","Unassigned"
"28056","","","Unassigned"
"28057","","","Unassigned"
"28058","","","Unassigned"
"28059","","","Unassigned"
"28060","","","Unassigned"
"28061","","","Unassigned"
"28062","","","Unassigned"
"28063","","","Unassigned"
"28064","","","Unassigned"
"28065","","","Unassigned"
"28066","","","Unassigned"
"28067","","","Unassigned"
"28068","","","Unassigned"
"28069","","","Unassigned"
"28070","","","Unassigned"
"28071","","","Unassigned"
"28072","","","Unassigned"
"28073","","","Unassigned"
"28074","","","Unassigned"
"28075","","","Unassigned"
"28076","","","Unassigned"
"28077","","","Unassigned"
"28078","","","Unassigned"
"28079","","","Unassigned"
"28080","","","Unassigned"
"28081","","","Unassigned"
"28082","","","Unassigned"
"28083","","","Unassigned"
"28084","","","Unassigned"
"28085","","","Unassigned"
"28086","","","Unassigned"
"28087","","","Unassigned"
"28088","","","Unassigned"
"28089","","","Unassigned"
"28090","","","Unassigned"
"28091","","","Unassigned"
"28092","","","Unassigned"
"28093","","","Unassigned"
"28094","","","Unassigned"
"28095","","","Unassigned"
"28096","","","Unassigned"
"28097","","","Unassigned"
"28098","","","Unassigned"
"28099","","","Unassigned"
"28100","","","Unassigned"
"28101","","","Unassigned"
"28102","","","Unassigned"
"28103","","","Unassigned"
"28104","","","Unassigned"
"28105","","","Unassigned"
"28106","","","Unassigned"
"28107","","","Unassigned"
"28108","","","Unassigned"
"28109","","","Unassigned"
"28110","","","Unassigned"
"28111","","","Unassigned"
"28112","","","Unassigned"
"28113","","","Unassigned"
"28114","","","Unassigned"
"28115","","","Unassigned"
"28116","","","Unassigned"
"28117","","","Unassigned"
"28118","","","Unassigned"
"28119","","tcp","Reserved"
"28119","a27-ran-ran","udp","A27 cdma2000 RAN Management"
"28120","","","Unassigned"
"28121","","","Unassigned"
"28122","","","Unassigned"
"28123","","","Unassigned"
"28124","","","Unassigned"
"28125","","","Unassigned"
"28126","","","Unassigned"
"28127","","","Unassigned"
"28128","","","Unassigned"
"28129","","","Unassigned"
"28130","","","Unassigned"
"28131","","","Unassigned"
"28132","","","Unassigned"
"28133","","","Unassigned"
"28134","","","Unassigned"
"28135","","","Unassigned"
"28136","","","Unassigned"
"28137","","","Unassigned"
"28138","","","Unassigned"
"28139","","","Unassigned"
"28140","","","Unassigned"
"28141","","","Unassigned"
"28142","","","Unassigned"
"28143","","","Unassigned"
"28144","","","Unassigned"
"28145","","","Unassigned"
"28146","","","Unassigned"
"28147","","","Unassigned"
"28148","","","Unassigned"
"28149","","","Unassigned"
"28150","","","Unassigned"
"28151","","","Unassigned"
"28152","","","Unassigned"
"28153","","","Unassigned"
"28154","","","Unassigned"
"28155","","","Unassigned"
"28156","","","Unassigned"
"28157","","","Unassigned"
"28158","","","Unassigned"
"28159","","","Unassigned"
"28160","","","Unassigned"
"28161","","","Unassigned"
"28162","","","Unassigned"
"28163","","","Unassigned"
"28164","","","Unassigned"
"28165","","","Unassigned"
"28166","","","Unassigned"
"28167","","","Unassigned"
"28168","","","Unassigned"
"28169","","","Unassigned"
"28170","","","Unassigned"
"28171","","","Unassigned"
"28172","","","Unassigned"
"28173","","","Unassigned"
"28174","","","Unassigned"
"28175","","","Unassigned"
"28176","","","Unassigned"
"28177","","","Unassigned"
"28178","","","Unassigned"
"28179","","","Unassigned"
"28180","","","Unassigned"
"28181","","","Unassigned"
"28182","","","Unassigned"
"28183","","","Unassigned"
"28184","","","Unassigned"
"28185","","","Unassigned"
"28186","","","Unassigned"
"28187","","","Unassigned"
"28188","","","Unassigned"
"28189","","","Unassigned"
"28190","","","Unassigned"
"28191","","","Unassigned"
"28192","","","Unassigned"
"28193","","","Unassigned"
"28194","","","Unassigned"
"28195","","","Unassigned"
"28196","","","Unassigned"
"28197","","","Unassigned"
"28198","","","Unassigned"
"28199","","","Unassigned"
"28200","voxelstorm","tcp","VoxelStorm game server"
"28200","voxelstorm","udp","VoxelStorm game server"
"28201","","","Unassigned"
"28202","","","Unassigned"
"28203","","","Unassigned"
"28204","","","Unassigned"
"28205","","","Unassigned"
"28206","","","Unassigned"
"28207","","","Unassigned"
"28208","","","Unassigned"
"28209","","","Unassigned"
"28210","","","Unassigned"
"28211","","","Unassigned"
"28212","","","Unassigned"
"28213","","","Unassigned"
"28214","","","Unassigned"
"28215","","","Unassigned"
"28216","","","Unassigned"
"28217","","","Unassigned"
"28218","","","Unassigned"
"28219","","","Unassigned"
"28220","","","Unassigned"
"28221","","","Unassigned"
"28222","","","Unassigned"
"28223","","","Unassigned"
"28224","","","Unassigned"
"28225","","","Unassigned"
"28226","","","Unassigned"
"28227","","","Unassigned"
"28228","","","Unassigned"
"28229","","","Unassigned"
"28230","","","Unassigned"
"28231","","","Unassigned"
"28232","","","Unassigned"
"28233","","","Unassigned"
"28234","","","Unassigned"
"28235","","","Unassigned"
"28236","","","Unassigned"
"28237","","","Unassigned"
"28238","","","Unassigned"
"28239","","","Unassigned"
"28240","siemensgsm","tcp","Siemens GSM"
"28240","siemensgsm","udp","Siemens GSM"
"28241","","","Unassigned"
"28242","","","Unassigned"
"28243","","","Unassigned"
"28244","","","Unassigned"
"28245","","","Unassigned"
"28246","","","Unassigned"
"28247","","","Unassigned"
"28248","","","Unassigned"
"28249","","","Unassigned"
"28250","","","Unassigned"
"28251","","","Unassigned"
"28252","","","Unassigned"
"28253","","","Unassigned"
"28254","","","Unassigned"
"28255","","","Unassigned"
"28256","","","Unassigned"
"28257","","","Unassigned"
"28258","","","Unassigned"
"28259","","","Unassigned"
"28260","","","Unassigned"
"28261","","","Unassigned"
"28262","","","Unassigned"
"28263","","","Unassigned"
"28264","","","Unassigned"
"28265","","","Unassigned"
"28266","","","Unassigned"
"28267","","","Unassigned"
"28268","","","Unassigned"
"28269","","","Unassigned"
"28270","","","Unassigned"
"28271","","","Unassigned"
"28272","","","Unassigned"
"28273","","","Unassigned"
"28274","","","Unassigned"
"28275","","","Unassigned"
"28276","","","Unassigned"
"28277","","","Unassigned"
"28278","","","Unassigned"
"28279","","","Unassigned"
"28280","","","Unassigned"
"28281","","","Unassigned"
"28282","","","Unassigned"
"28283","","","Unassigned"
"28284","","","Unassigned"
"28285","","","Unassigned"
"28286","","","Unassigned"
"28287","","","Unassigned"
"28288","","","Unassigned"
"28289","","","Unassigned"
"28290","","","Unassigned"
"28291","","","Unassigned"
"28292","","","Unassigned"
"28293","","","Unassigned"
"28294","","","Unassigned"
"28295","","","Unassigned"
"28296","","","Unassigned"
"28297","","","Unassigned"
"28298","","","Unassigned"
"28299","","","Unassigned"
"28300","","","Unassigned"
"28301","","","Unassigned"
"28302","","","Unassigned"
"28303","","","Unassigned"
"28304","","","Unassigned"
"28305","","","Unassigned"
"28306","","","Unassigned"
"28307","","","Unassigned"
"28308","","","Unassigned"
"28309","","","Unassigned"
"28310","","","Unassigned"
"28311","","","Unassigned"
"28312","","","Unassigned"
"28313","","","Unassigned"
"28314","","","Unassigned"
"28315","","","Unassigned"
"28316","","","Unassigned"
"28317","","","Unassigned"
"28318","","","Unassigned"
"28319","","","Unassigned"
"28320","","","Unassigned"
"28321","","","Unassigned"
"28322","","","Unassigned"
"28323","","","Unassigned"
"28324","","","Unassigned"
"28325","","","Unassigned"
"28326","","","Unassigned"
"28327","","","Unassigned"
"28328","","","Unassigned"
"28329","","","Unassigned"
"28330","","","Unassigned"
"28331","","","Unassigned"
"28332","","","Unassigned"
"28333","","","Unassigned"
"28334","","","Unassigned"
"28335","","","Unassigned"
"28336","","","Unassigned"
"28337","","","Unassigned"
"28338","","","Unassigned"
"28339","","","Unassigned"
"28340","","","Unassigned"
"28341","","","Unassigned"
"28342","","","Unassigned"
"28343","","","Unassigned"
"28344","","","Unassigned"
"28345","","","Unassigned"
"28346","","","Unassigned"
"28347","","","Unassigned"
"28348","","","Unassigned"
"28349","","","Unassigned"
"28350","","","Unassigned"
"28351","","","Unassigned"
"28352","","","Unassigned"
"28353","","","Unassigned"
"28354","","","Unassigned"
"28355","","","Unassigned"
"28356","","","Unassigned"
"28357","","","Unassigned"
"28358","","","Unassigned"
"28359","","","Unassigned"
"28360","","","Unassigned"
"28361","","","Unassigned"
"28362","","","Unassigned"
"28363","","","Unassigned"
"28364","","","Unassigned"
"28365","","","Unassigned"
"28366","","","Unassigned"
"28367","","","Unassigned"
"28368","","","Unassigned"
"28369","","","Unassigned"
"28370","","","Unassigned"
"28371","","","Unassigned"
"28372","","","Unassigned"
"28373","","","Unassigned"
"28374","","","Unassigned"
"28375","","","Unassigned"
"28376","","","Unassigned"
"28377","","","Unassigned"
"28378","","","Unassigned"
"28379","","","Unassigned"
"28380","","","Unassigned"
"28381","","","Unassigned"
"28382","","","Unassigned"
"28383","","","Unassigned"
"28384","","","Unassigned"
"28385","","","Unassigned"
"28386","","","Unassigned"
"28387","","","Unassigned"
"28388","","","Unassigned"
"28389","","","Unassigned"
"28390","","","Unassigned"
"28391","","","Unassigned"
"28392","","","Unassigned"
"28393","","","Unassigned"
"28394","","","Unassigned"
"28395","","","Unassigned"
"28396","","","Unassigned"
"28397","","","Unassigned"
"28398","","","Unassigned"
"28399","","","Unassigned"
"28400","","","Unassigned"
"28401","","","Unassigned"
"28402","","","Unassigned"
"28403","","","Unassigned"
"28404","","","Unassigned"
"28405","","","Unassigned"
"28406","","","Unassigned"
"28407","","","Unassigned"
"28408","","","Unassigned"
"28409","","","Unassigned"
"28410","","","Unassigned"
"28411","","","Unassigned"
"28412","","","Unassigned"
"28413","","","Unassigned"
"28414","","","Unassigned"
"28415","","","Unassigned"
"28416","","","Unassigned"
"28417","","","Unassigned"
"28418","","","Unassigned"
"28419","","","Unassigned"
"28420","","","Unassigned"
"28421","","","Unassigned"
"28422","","","Unassigned"
"28423","","","Unassigned"
"28424","","","Unassigned"
"28425","","","Unassigned"
"28426","","","Unassigned"
"28427","","","Unassigned"
"28428","","","Unassigned"
"28429","","","Unassigned"
"28430","","","Unassigned"
"28431","","","Unassigned"
"28432","","","Unassigned"
"28433","","","Unassigned"
"28434","","","Unassigned"
"28435","","","Unassigned"
"28436","","","Unassigned"
"28437","","","Unassigned"
"28438","","","Unassigned"
"28439","","","Unassigned"
"28440","","","Unassigned"
"28441","","","Unassigned"
"28442","","","Unassigned"
"28443","","","Unassigned"
"28444","","","Unassigned"
"28445","","","Unassigned"
"28446","","","Unassigned"
"28447","","","Unassigned"
"28448","","","Unassigned"
"28449","","","Unassigned"
"28450","","","Unassigned"
"28451","","","Unassigned"
"28452","","","Unassigned"
"28453","","","Unassigned"
"28454","","","Unassigned"
"28455","","","Unassigned"
"28456","","","Unassigned"
"28457","","","Unassigned"
"28458","","","Unassigned"
"28459","","","Unassigned"
"28460","","","Unassigned"
"28461","","","Unassigned"
"28462","","","Unassigned"
"28463","","","Unassigned"
"28464","","","Unassigned"
"28465","","","Unassigned"
"28466","","","Unassigned"
"28467","","","Unassigned"
"28468","","","Unassigned"
"28469","","","Unassigned"
"28470","","","Unassigned"
"28471","","","Unassigned"
"28472","","","Unassigned"
"28473","","","Unassigned"
"28474","","","Unassigned"
"28475","","","Unassigned"
"28476","","","Unassigned"
"28477","","","Unassigned"
"28478","","","Unassigned"
"28479","","","Unassigned"
"28480","","","Unassigned"
"28481","","","Unassigned"
"28482","","","Unassigned"
"28483","","","Unassigned"
"28484","","","Unassigned"
"28485","","","Unassigned"
"28486","","","Unassigned"
"28487","","","Unassigned"
"28488","","","Unassigned"
"28489","","","Unassigned"
"28490","","","Unassigned"
"28491","","","Unassigned"
"28492","","","Unassigned"
"28493","","","Unassigned"
"28494","","","Unassigned"
"28495","","","Unassigned"
"28496","","","Unassigned"
"28497","","","Unassigned"
"28498","","","Unassigned"
"28499","","","Unassigned"
"28500","","","Unassigned"
"28501","","","Unassigned"
"28502","","","Unassigned"
"28503","","","Unassigned"
"28504","","","Unassigned"
"28505","","","Unassigned"
"28506","","","Unassigned"
"28507","","","Unassigned"
"28508","","","Unassigned"
"28509","","","Unassigned"
"28510","","","Unassigned"
"28511","","","Unassigned"
"28512","","","Unassigned"
"28513","","","Unassigned"
"28514","","","Unassigned"
"28515","","","Unassigned"
"28516","","","Unassigned"
"28517","","","Unassigned"
"28518","","","Unassigned"
"28519","","","Unassigned"
"28520","","","Unassigned"
"28521","","","Unassigned"
"28522","","","Unassigned"
"28523","","","Unassigned"
"28524","","","Unassigned"
"28525","","","Unassigned"
"28526","","","Unassigned"
"28527","","","Unassigned"
"28528","","","Unassigned"
"28529","","","Unassigned"
"28530","","","Unassigned"
"28531","","","Unassigned"
"28532","","","Unassigned"
"28533","","","Unassigned"
"28534","","","Unassigned"
"28535","","","Unassigned"
"28536","","","Unassigned"
"28537","","","Unassigned"
"28538","","","Unassigned"
"28539","","","Unassigned"
"28540","","","Unassigned"
"28541","","","Unassigned"
"28542","","","Unassigned"
"28543","","","Unassigned"
"28544","","","Unassigned"
"28545","","","Unassigned"
"28546","","","Unassigned"
"28547","","","Unassigned"
"28548","","","Unassigned"
"28549","","","Unassigned"
"28550","","","Unassigned"
"28551","","","Unassigned"
"28552","","","Unassigned"
"28553","","","Unassigned"
"28554","","","Unassigned"
"28555","","","Unassigned"
"28556","","","Unassigned"
"28557","","","Unassigned"
"28558","","","Unassigned"
"28559","","","Unassigned"
"28560","","","Unassigned"
"28561","","","Unassigned"
"28562","","","Unassigned"
"28563","","","Unassigned"
"28564","","","Unassigned"
"28565","","","Unassigned"
"28566","","","Unassigned"
"28567","","","Unassigned"
"28568","","","Unassigned"
"28569","","","Unassigned"
"28570","","","Unassigned"
"28571","","","Unassigned"
"28572","","","Unassigned"
"28573","","","Unassigned"
"28574","","","Unassigned"
"28575","","","Unassigned"
"28576","","","Unassigned"
"28577","","","Unassigned"
